Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Imagen,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,puntosinteres_id,Tipo
"Circo Delanube","Montevideo","Montevideo","Grecia 3281Esq. Norteamérica","10:00:00","20:00:00","https://www.facebook.com/CircoDeLaNube/","","https://circodelanube.com/","Circo DeLaNube presenta su show de circo tradicional, un universo de fina comicidad y fantasía ilimitada, una función en donde las carcajadas se mezclan con el telón mágico del asombro, donde muchas sorpresas y dinamismos de emociones te esperan, desde malabarismos y danzas folclóricas y desfachatados Cocoliches, hasta supuestos audaces acróbatas y desequilibrados zanqueros.","https://circodelanube.files.wordpress.com/2013/12/cropped-cropped-logodelanubecompleto.jpg","-34.905891","-56.191311","Espacio cerrado","Todas las edades","Grupo","221","Circo"
"Anima Circus (infantil)","Montevideo","Montevideo","Edificio Sede Av. 18 de Julio 1360, piso 3", "10:00:00","22:00:00","https://www.facebook.com/CentroCulturalElFlorencio/","","https://florencio.montevideo.gub.uy/evento/anima-circus-infantil","Anima Circus es un espectáculo que combina expresiones artísticas de gran atractivo popular: los títeres, el circo y el teatro callejero. Propone distintos números donde los actores-titiriteros y sus títeres en relación simbiótica generan performances con música, humor y gran despliegue visual. El hecho de que los artistas del circo, quienes realizan las pruebas, sean títeres, lleva a que los límites de su accionar, por ridículo, grotesco y tierno a la vez, sean infinitos. Las constantes del espectáculo son el colorido, la musicalidad y el humor absurdo e irreverente de los títeres. Representamos un estilo a medio camino entre los circos tradicionales y los modernos, llevando los números a dificultades al borde del ridículo, nos reímos de nosotros mismos como circo, y nos permitimos, sin culpa, presentar animales en la pista, ya que son títeres.","https://florencio.montevideo.gub.uy/sites/florencio.montevideo.gub.uy/files/styles/galeria_normal/public/eventos/imagenes/anima_circus_3_-_la_loca_compania_uruguay_-_teatro_y_titeres.png?itok=Hf-hDIwV","","","Espacio cerrado","Todas las edades","Grupo","222","Circo"
"Compañía Circomedia Uruguay","Montevideo","Montevideo","Paraguay 1061, Montevideo, Montevideo Department 11100 · ~5,3 km","10:30:00","19:30:00","https://facebook.com/circomediauruguay","https://www.instagram.com/circomediauy/","https://www.circomediauruguay.com/","Nos apasiona lo que hacemos.Estamos convencidas de que las Pasiones se toman en serio, y hacer de esto una forma de vida es honrar nuestro oficio artístico.Comprometidas con esta cruzada, fuimos las primeras en Uruguay en crear una Carrera de Formación de Acróbatas y un Programa de Mentorías para ayudar a los artistas a vivir de lo que aman como emprendedores.Todo esto en un Centro con la mejor infraestructura del medio, un espacio en el que podés sentirte como en casa, y un equipo de profesionales capacitadas para darte la mejor experiencia de aprendizaje.Queremos compartirlo contigo, y con quienes tienen el coraje de vivir de lo que aman.Estamos preparadas para darte la mejor formación como acróbata.¡Bienvenidos!","https://www.circomediauruguay.com/uploads/2/1/9/1/21918882/add-a-subheading-8_orig.png","-34,905891","-56,191311","Espacio cerrado","Adultos","Grupo","223","Circo"
"Academia de circo","Montevideo","Montevideo","Maldonado 993, 11100 Montevideo, Departamento de Montevideo, Uruguay · ~5,4 km","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"
"","","","","","","","","","","","","","","","","","Circo"